_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*8731 7:38 |their own care with kids sector it 's easter basket in the morning| mkX1ghYdJ0s
_*8732 7:42 |and this year decided i wanted to make skates for first easter basket| mkX1ghYdJ0s
_*8733 7:47 |so gon na crushing it but that would be kinda wilson john city you| mkX1ghYdJ0s
_*8734 7:52 |and i 've been doing some from research| mkX1ghYdJ0s
_*8735 7:56 |and planning best i wan na maker and admired and 2t| mkX1ghYdJ0s
_*8736 8:00 |but i and getting you guys still so if you guys could| mkX1ghYdJ0s
_*8737 8:04 |seen you think a comment below and let me know which basket| mkX1ghYdJ0s
_*8738 8:07 |you guys like better i would greatly greatly appreciate that because i 'm| mkX1ghYdJ0s
_*8739 8:12 |having a difficult time choosing between these last two best| mkX1ghYdJ0s
_*8740 8:15 |so let me know because i 'll| mkX1ghYdJ0s
_*8741 8:20 |i have lotsa lotsa lotsa in starcraft projects that i and then we doing| mkX1ghYdJ0s
_*8742 8:24 |and so i wanted to get started on easter basket as soon as possible so i can| mkX1ghYdJ0s
_*8743 8:28 |finish the other ones have everything that might just| mkX1ghYdJ0s
_*8744 8:30 |so comet below and let me know| mkX1ghYdJ0s
_*8745 8:34 |which basket seems okay thanks guys way| mkX1ghYdJ0s
_*8746 9:24 |do lon| mkX1ghYdJ0s
_*8747 1:45 |orangutans ca n't speak for themselves but if they could they would tell us that much of the| G32YehcdUAw
_*8748 1:51 |palm oil used in america 's snack food is being grown by cutting down rainforest that are| G32YehcdUAw
_*8749 1:56 |orangutans only home . but we can stop it by telling brands that use palm oil there 's a| G32YehcdUAw
_*8750 2:02 |better way . we 'll use our customer power to demand change , before it 's too late .| G32YehcdUAw
_*8751 2:13 |the power is in your palm .| G32YehcdUAw
_*8752 0:04 |hi my name is a lease south here| tWIpJrOfwlA
_*8753 0:07 |i 'm the of fly into the light| tWIpJrOfwlA
_*8754 0:11 |novel is about| tWIpJrOfwlA
_*8755 0:14 |little tough play danny| tWIpJrOfwlA
_*8756 0:18 |and all michael to find themselves| tWIpJrOfwlA
_*8757 0:21 |teacher act parent kidnapped| tWIpJrOfwlA
_*8758 0:24 |by evil piles assessed in san| tWIpJrOfwlA
_*8759 0:28 |will hang ten why| tWIpJrOfwlA
_*8760 0:32 |custom has power cast| tWIpJrOfwlA
_*8761 0:35 |he knows what happens to you| tWIpJrOfwlA
_*8762 0:39 |now that 's fine too| tWIpJrOfwlA
_*8763 0:42 |brothers list| tWIpJrOfwlA
_*8764 0:45 |outlet and out harrington the fbi| tWIpJrOfwlA
_*8765 0:51 |and fellow americans harrowing cross-country chase| tWIpJrOfwlA
_*8766 0:56 |because whoever ca n't first| tWIpJrOfwlA
_*8767 1:00 |has the power control| tWIpJrOfwlA
_*8768 1:03 |every person now can be purchased| tWIpJrOfwlA
_*8769 1:09 |on caps on amazon uk| tWIpJrOfwlA
_*8770 1:13 |publishing company| tWIpJrOfwlA
_*8771 1:16 |home well press and barnes & noble| tWIpJrOfwlA
_*8772 1:20 |devices thank you so much enjoy| tWIpJrOfwlA
_*8773 0:31 |you hold my every moment| rvraTk1e6UE
_*8774 0:37 |you calm my raging seas| rvraTk1e6UE
_*8775 0:44 |you walk with me through fire| rvraTk1e6UE
_*8776 0:50 |and heal all my disease| rvraTk1e6UE
_*8777 0:56 |i trust in you , i trust in you| rvraTk1e6UE
_*8778 1:09 |i believe you 're my healer| rvraTk1e6UE
_*8779 1:15 |i believe you are all i need| rvraTk1e6UE
_*8780 1:24 |i believe| rvraTk1e6UE
_*8781 1:27 |and i believe you 're my portion| rvraTk1e6UE
_*8782 1:33 |i believe you 're more| rvraTk1e6UE
_*8783 1:36 |than enough for me| rvraTk1e6UE
_*8784 1:42 |jesus you 're all i need| rvraTk1e6UE
_*8785 1:51 |you hold my every moment| rvraTk1e6UE
_*8786 1:58 |you calm my raging seas| rvraTk1e6UE
_*8787 2:03 |you walk with me through fire| rvraTk1e6UE
_*8788 2:10 |and heal all my disease| rvraTk1e6UE
_*8789 2:15 |i trust in you , lord i trust in you| rvraTk1e6UE
_*8790 2:28 |i believe you 're my healer| rvraTk1e6UE
_*8791 2:35 |i believe you are all i need| rvraTk1e6UE
_*8792 2:43 |oh , i believe| rvraTk1e6UE
_*8793 2:47 |i believe you 're my portion| rvraTk1e6UE
_*8794 2:53 |i believe you 're more| rvraTk1e6UE
_*8795 2:55 |than enough for me| rvraTk1e6UE
_*8796 3:02 |jesus you 're all i need| rvraTk1e6UE
_*8797 3:11 |nothing is impossible for you| rvraTk1e6UE
_*8798 3:18 |nothing is impossible| rvraTk1e6UE
_*8799 3:23 |nothing is impossible for you| rvraTk1e6UE
_*8800 3:31 |you hold my world in your hands| rvraTk1e6UE
_*8801 3:36 |nothing is impossible for you| rvraTk1e6UE
_*8802 3:42 |nothing is impossible| rvraTk1e6UE
_*8803 3:48 |nothing is impossible for you| rvraTk1e6UE
_*8804 3:55 |you hold my world in your hands| rvraTk1e6UE
_*8805 4:02 |i believe you 're my healer| rvraTk1e6UE
_*8806 4:09 |i believe you are all i need| rvraTk1e6UE
_*8807 4:17 |oh , yes you are , yes you are| rvraTk1e6UE
_*8808 4:21 |and i believe you 're my portion| rvraTk1e6UE
_*8809 4:27 |lord i believe| rvraTk1e6UE
_*8810 4:29 |you 're more than enough for me| rvraTk1e6UE
_*8811 4:36 |jesus you 're all i need| rvraTk1e6UE
_*8812 4:42 |more than enough for me| rvraTk1e6UE
_*8813 4:48 |jesus you 're all i need| rvraTk1e6UE
_*8814 4:58 |you 're my healer| rvraTk1e6UE
_*8815 0:01 |hi i 'm patrick and i work for the irs| X5gLe1_ONnc
_*8816 0:04 |you may see a new number on your w-2| X5gLe1_ONnc
_*8817 0:08 |you know the form you get after the end of the year| X5gLe1_ONnc
_*8818 0:13 |the tells you how much you burned and how much tax you had withheld| X5gLe1_ONnc
_*8819 0:17 |from your paycheck that new number| X5gLe1_ONnc
_*8820 0:22 |is the cost % uh employer-provided health care coverage| X5gLe1_ONnc
_*8821 0:25 |you 'll find it on the w-2| X5gLe1_ONnc
_*8822 0:29 |inbox 12 under code dd| X5gLe1_ONnc
_*8823 0:42 |any amount you see under| X5gLe1_ONnc
_*8824 0:44 |a special code is still not taxable as more employers report this cost on the| X5gLe1_ONnc
_*8825 0:51 w-2 X5gLe1_ONnc
_*8826 0:52 |we want to assure you that although this information| X5gLe1_ONnc
_*8827 0:55 |is now reported on your w-2 other things remain the same| X5gLe1_ONnc
_*8828 1:00 |in other words health coverage| X5gLe1_ONnc
_*8829 1:04 |that was tax free the past is still tax free now| X5gLe1_ONnc
_*8830 1:08 |so you may be wondering| X5gLe1_ONnc
_*8831 1:11 |then why is this number on my w-2| X5gLe1_ONnc
_*8832 1:15 |well it 's there for informational purposes| X5gLe1_ONnc
_*8833 1:19 |the show employees the value up their health care benefits| X5gLe1_ONnc
_*8834 1:23 |not everyone will have this information| X5gLe1_ONnc
_*8835 1:29 |on their w-2 right away because this reporting requirement is still| X5gLe1_ONnc
_*8836 1:33 |optional for many smaller employers but if it 's on your w-2| X5gLe1_ONnc
_*8837 1:38 |remember the bottom line is the amount reported with cody d| X5gLe1_ONnc
_*8838 1:44 |is not taxable to learn more| X5gLe1_ONnc
_*8839 1:50 |go to irs dot| X5gLe1_ONnc
_*8840 1:54 |gobs text| X5gLe1_ONnc
_*8841 0:00 |hi , it 's tien le here from melbourne , australia .| 5jrShsodY-o
_*8842 0:02 |i want to teach you today how to sign| 5jrShsodY-o
_*8843 0:03 colours 5jrShsodY-o
_*8844 0:04 |in auslan which is australian sign language .| 5jrShsodY-o
_*8845 0:08 |for those who have not seen my previous videos| 5jrShsodY-o
_*8846 0:11 |go back and watch them| 5jrShsodY-o
_*8847 0:11 |because i teach you| 5jrShsodY-o
_*8848 0:13 |how to sign the alphabet ,| 5jrShsodY-o
_*8849 0:14 |how to count -| 5jrShsodY-o
_*8850 0:15 |and stuff like that .| 5jrShsodY-o
_*8851 0:16 |subscribe to my channel so i can keep teaching you how to sign .| 5jrShsodY-o
_*8852 0:19 |so today i 'm going to focus on colours .| 5jrShsodY-o
_*8853 0:22 |colours !| 5jrShsodY-o
_*8854 0:24 red 5jrShsodY-o
_*8855 0:26 black 5jrShsodY-o
_*8856 0:27 brown 5jrShsodY-o
_*8857 0:29 white 5jrShsodY-o
_*8858 0:31 silver 5jrShsodY-o
_*8859 0:34 purple 5jrShsodY-o
_*8860 0:36 blue 5jrShsodY-o
_*8861 0:37 pink 5jrShsodY-o
_*8862 0:39 orange 5jrShsodY-o
_*8863 0:42 green 5jrShsodY-o
_*8864 0:44 yellow 5jrShsodY-o
_*8865 0:45 grey 5jrShsodY-o
_*8866 0:47 gold 5jrShsodY-o
_*8867 0:49 dark 5jrShsodY-o
_*8868 0:51 light 5jrShsodY-o
_*8869 0:53 |and with anything , the more you practice , obviously , the better you 're gon na get it .| 5jrShsodY-o
_*8870 0:56 |if you want to know how i can| 5jrShsodY-o
_*8871 0:56 |teach you sign language| 5jrShsodY-o
_*8872 0:58 |and get paid| 5jrShsodY-o
_*8873 0:59 |working from the comfort of my own home ,| 5jrShsodY-o
_*8874 1:01 |click the link below this video .| 5jrShsodY-o
_*8875 1:03 |subscribe to my channel so i can keep bringing you more auslan lessons .| 5jrShsodY-o
_*8876 1:06 |have a great day - thank you !| 5jrShsodY-o
_*8877 0:06 |hi ! my name is jennifer ( sign name )| r4Mm76Pu8fg
_*8878 0:13 |hi ! my name is jack ( sign name )| r4Mm76Pu8fg
_*8879 0:19 |geordie productions , a montreal-based theatre company wants us to inform you of some exciting news !| r4Mm76Pu8fg
_*8880 0:32 |they will be presenting asl-interpreted performances !| r4Mm76Pu8fg
_*8881 0:34 |yahoooooo !| r4Mm76Pu8fg
_*8882 0:39 |who is geordie productions ? ( sign gp for short )| r4Mm76Pu8fg
_*8883 0:46 |they are a theatre company from montreal that has been around for 35 years !| r4Mm76Pu8fg
_*8884 0:54 |they present educational , entertaining , and unique theatre for audiences of all ages in eastern canada .| r4Mm76Pu8fg
_*8885 1:06 |for their 35th anniversary , they have decided to present two of their favourite shows :| r4Mm76Pu8fg
_*8886 1:35 |geordie productions has an important goal for this year . what is it ?| r4Mm76Pu8fg
_*8887 1:39 |deaf accessibility !| r4Mm76Pu8fg
_*8888 1:51 |since these two shows have hearing actors , what would an asl-interpreted show look like ?| r4Mm76Pu8fg
_*8889 1:58 |they will hire interpreters who read and study the script .| r4Mm76Pu8fg
_*8890 2:03 |hearing actors will do their regular rehearsals while the interpreters listen and practice alongside them .| r4Mm76Pu8fg
_*8891 2:12 |when the actors are ready to perform on the stage , the interpreters will position themselves near them| r4Mm76Pu8fg
_*8892 2:19 |and interpret in asl while the play is happening| r4Mm76Pu8fg
_*8893 2:23 |so both hearing and deaf audiences can watch and enjoy the show together .| r4Mm76Pu8fg
_*8894 2:34 |what are the shows about ?| r4Mm76Pu8fg
_*8895 3:36 |the children were curious about this young girl| r4Mm76Pu8fg
_*8896 3:42 |and through a journey that took them around europe and north america , they learned more about her story .| r4Mm76Pu8fg
_*8897 3:56 |this asl interpreted performance will happen on saturday , november 7th , at 2pm .| r4Mm76Pu8fg
_*8898 4:03 |there will be a question and answer period after the show .| r4Mm76Pu8fg
_*8899 4:18 |beethoven was a famous composer who loved to create music .| r4Mm76Pu8fg
_*8900 4:35 |he experienced deafness as he aged and struggled to accept this in his life .| r4Mm76Pu8fg
_*8901 4:48 |in this story , he lives above a boy named christoph who wants to learn more about his new strange neighbour .| r4Mm76Pu8fg
_*8902 5:03 |the play is about the relationship between christoph and beethoven .| r4Mm76Pu8fg
_*8903 5:07 |this asl interpreted performance will happen next year in 2016 on saturday , april 30th , at 2pm .| r4Mm76Pu8fg
_*8904 5:15 |there will also be a question and answer period after the show .| r4Mm76Pu8fg
_*8905 5:40 |e-mail me ,| r4Mm76Pu8fg
_*8906 5:52 |or you can phone us !| r4Mm76Pu8fg
_*8907 6:06 |discounted tickets are also available ! there are 2 ways to qualify :| r4Mm76Pu8fg
_*8908 6:11 |bring a group of at least 10 people ,| r4Mm76Pu8fg
_*8909 6:14 |or buy a combo subscription by purchasing both hana + beethoven shows at the same time !| r4Mm76Pu8fg
_*8910 6:22 |you could see both shows ! very cool .| r4Mm76Pu8fg
_*8911 6:24 |make sure you buy tickets soon before they sell out !| r4Mm76Pu8fg
_*8912 6:28 |please help share this video and spread the word by telling all your deaf and hearing friends| r4Mm76Pu8fg
_*8913 6:34 |to come out and enjoy the show ! we are hoping that by having lots of people come out ,| r4Mm76Pu8fg
_*8914 6:42 |thanks so much for watching !| r4Mm76Pu8fg
_*8915 0:07 |she is a motivational speaker who inspires young people . minya afeworki interviewed her .| jgzTTACA1Cg
_*8916 0:17 |my name is aida robel and i was born and grew up in sweden . today i am 20 years old .| jgzTTACA1Cg
_*8917 0:34 |the secrets of life , how we can discover ourselves and how we can understand other people .| jgzTTACA1Cg
_*8918 0:46 |your father robel kidane has also presented topics for us in the past about knowing yourself ,| jgzTTACA1Cg
_*8919 0:51 |how to make peace with yourself , how to make peace with your parents ,| jgzTTACA1Cg
_*8920 0:56 |how to find peace outside if you already have peace inside yourself and at home .| jgzTTACA1Cg
_*8921 1:06 |at your age of 20 years old , how did you become interested in this area aida ?| jgzTTACA1Cg
_*8922 1:12 |ever since i was a child , he used to give me advice . when i was growing up , i remembered the advice and i found it useful .| jgzTTACA1Cg
_*8923 1:21 |for example , what kind of struggles did you experience when you were growing up ?| jgzTTACA1Cg
_*8924 1:32 |if a person hurts you , you can take a distance . but if you hurt yourself , you have nowhere else to go .| jgzTTACA1Cg
_*8925 1:40 |so if you are constantly hurting yourself in your life , it is not good . you can even end up in depression , sadness or sickness .| jgzTTACA1Cg
_*8926 1:50 |aida , who are you sharing your advice with ? is it for youths or adults ? what places do you go to share your advice ?| jgzTTACA1Cg
_*8927 1:59 |this is mainly for young people , around the age 20-25 , who are looking for discovering themselves that i give advice to .| jgzTTACA1Cg
_*8928 2:15 |in the past i have given speeches and advice in sweden and china for example .| jgzTTACA1Cg
_*8929 2:23 |when you travel outside sweden to give speeches and advice , how can people invite you ?| jgzTTACA1Cg
_*8930 2:31 |they send me an email where we discuss how i can support them in the best way . ( helloaidarobel @ gmail.com )| jgzTTACA1Cg
_*8931 2:43 |then i prepare topics to talk about and share with them .| jgzTTACA1Cg
_*8932 2:47 |you already know everything , but what i do is to remind you of the things that you already know .| jgzTTACA1Cg
_*8933 2:53 |we all have enough education and knowledge about what we need to know .| jgzTTACA1Cg
_*8934 3:02 |where did you get the advice that you are sharing ? from your father , from school or other places aida ?| jgzTTACA1Cg
_*8935 3:09 |from my father while growing up , from books that i have read and courses that i have attended .| jgzTTACA1Cg
_*8936 3:17 |i have also personally lived and experienced it .| jgzTTACA1Cg
_*8937 3:26 |i have lived and personally experienced it , so what has helped and supported me is what i share .| jgzTTACA1Cg
_*8938 3:32 |within your 20 years of age , what kinds of advice from your father have you used that has supported you ?| jgzTTACA1Cg
_*8939 3:44 |one of the advices that i mentioned earlier is about negative self-talk .| jgzTTACA1Cg
_*8940 3:56 |i had an inner judge that was telling me what to do or not to do , constantly disturbing me .| jgzTTACA1Cg
_*8941 4:04 |so i confronted this voice and started to see myself with new eyes , objectively , observing myself .| jgzTTACA1Cg
_*8942 4:27 |i convinced myself to believe that i was good enough and then started to trust myself more .| jgzTTACA1Cg
_*8943 4:43 |starting a new school or something that scares you ,| jgzTTACA1Cg
_*8944 4:48 |when you start trusting yourself you will be amazed of what you can do in life .| jgzTTACA1Cg
_*8945 4:54 |so you need to be confidence in yourself and believe that you can do something .| jgzTTACA1Cg
_*8946 5:03 |it can sometimes be challenging , but if you believe in yourself ,| jgzTTACA1Cg
_*8947 5:20 |young people like you who want to trust and believe in themselves more , what do they expect from their parents ?| jgzTTACA1Cg
_*8948 5:44 |what parents need to do , from my point of view , is to listen to your children .| jgzTTACA1Cg
_*8949 5:50 |as parents , you are coming from a different generation .| jgzTTACA1Cg
_*8950 6:04 |young people , listen to the advice you get from your parents , but then choose what you want to use in your own life .| jgzTTACA1Cg
_*8951 6:12 |parents , support your children . let them know what you think and do n't think .| jgzTTACA1Cg
_*8952 6:20 |remember to always tell them that they are good enough no matter what they do .| jgzTTACA1Cg
_*8953 6:29 |what we need is trust and love , the rest we can manage it . just support them .| jgzTTACA1Cg
_*8954 6:40 |so far , what kind of places have you been to and given advice ?| jgzTTACA1Cg
_*8955 6:43 |video conference or speeches in india , china , sweden , germany and other places .| jgzTTACA1Cg
_*8956 6:53 |especially in sweden , i have given advice at school .| jgzTTACA1Cg
_*8957 6:58 |do you get paid when you give advice ?| jgzTTACA1Cg
_*8958 7:01 |mostly i get paid , but i also do it for free sometimes .| jgzTTACA1Cg
_*8959 7:08 |how do you get your name out there outside sweden that you inspire and motivate young people ?| jgzTTACA1Cg
_*8960 7:20 |robel , my father , has helped me a lot . he introduce me to people he knows in other countries .| jgzTTACA1Cg
_*8961 7:28 |we also work together , he with adults and me with youth . we combine our two generations .| jgzTTACA1Cg
_*8962 7:38 |have you two ever given training together as a father and daughter to an audience with parents and their children ?| jgzTTACA1Cg
_*8963 7:52 |we have done it in china for example , where parents and youth ask questions and we answer them .| jgzTTACA1Cg
_*8964 8:03 |they really appreciated it and we enjoyed it as well .| jgzTTACA1Cg
_*8965 8:07 |in what language did you give your training in china ? in english ?| jgzTTACA1Cg
_*8966 8:12 |yes , we did it mainly in english , but i also used some chinese as well : )| jgzTTACA1Cg
_*8967 8:20 |great aida , i really appreciate you . i will invite you in the future| jgzTTACA1Cg
_*8968 8:27 |to share more advice and experiences with us , with our listeners , with adults , parents and youth .| jgzTTACA1Cg
_*8969 8:33 |until then , thank you aida robel from sweden !| jgzTTACA1Cg
_*8970 8:37 |thank you minya !| jgzTTACA1Cg
_*8971 8:40 |27.08.2014 - voice of america radio interview with motivational speaker aida robel , made by minya afeworki .| jgzTTACA1Cg
_*8972 8:45 |for more information , contact : helloaidarobel @ gmail.com| jgzTTACA1Cg
_*8973 8:49 |for more inspiration and motivation , like facebook page and subscribe to youtube channel| jgzTTACA1Cg
_*8974 0:02 |i 'm going to sing and sign| akObz3AdBAs
_*8975 0:03 |john chapter 21 nurse 3| akObz3AdBAs
_*8976 0:07 |imagine and american sign language| akObz3AdBAs
_*8977 0:10 omy akObz3AdBAs
_*8978 0:13 |pay yeltsin factor sumant| akObz3AdBAs
_*8979 0:17 |and seen me here cell| akObz3AdBAs
_*8980 0:20 |phantom asked me here| akObz3AdBAs
_*8981 0:24 |called do and so here 's an explanation| akObz3AdBAs
_*8982 0:30 |mind doing first a little about mattoon remember that| akObz3AdBAs
_*8983 0:34 |word and things change with the way word used in a sentence| akObz3AdBAs
_*8984 0:38 |and order words in a sentence| akObz3AdBAs
_*8985 0:41 |are different than what we 're used to in english so| akObz3AdBAs
_*8986 0:46 |the land where only a| akObz3AdBAs
_*8987 0:50 |parents some back to should n't| akObz3AdBAs
_*8988 0:53 |at seen amy if so factum| akObz3AdBAs
_*8989 0:56 |ft me he 'll called back to him| akObz3AdBAs
_*8990 1:00 |ethnic classical pronunciation| akObz3AdBAs
_*8991 1:04 |to the best to manage only at| akObz3AdBAs
_*8992 1:07 |means all inc so in take a right hand| akObz3AdBAs
_*8993 1:11 |and show of things panic| akObz3AdBAs
_*8994 1:14 |means through gon na take a right hand| akObz3AdBAs
_*8995 1:17 |and goes to my left hand make this here| akObz3AdBAs
_*8996 1:21 |give some means him| akObz3AdBAs
_*8997 1:24 |excel means him| akObz3AdBAs
_*8998 1:28 |so both times it come to that out| akObz3AdBAs
_*8999 1:31 |in this verse referring to get 72 points % uh| akObz3AdBAs
_*9000 1:35 |for him factor| akObz3AdBAs
_*9001 1:38 |means me super hans tn| akObz3AdBAs
_*9002 1:41 |making something act dumb also me| akObz3AdBAs
_*9003 1:45 |made same sign| akObz3AdBAs
_*9004 1:49 |sent means worker and i 'm going to use this i have been using| akObz3AdBAs
_*9005 1:53 |one way over me shelter at| akObz3AdBAs
_*9006 1:58 |means me and take your right hand open moved| akObz3AdBAs
_*9007 2:02 |map to the right and close it me and| akObz3AdBAs
_*9008 2:05 |at seen a means with| akObz3AdBAs
_*9009 2:08 |out least this i 'm yes inspector hans| akObz3AdBAs
_*9010 2:13 |out to show not with with| akObz3AdBAs
_*9011 2:16 |apt university come to the words yep sao| akObz3AdBAs
_*9012 2:21 |and factor and est| akObz3AdBAs
_*9013 2:24 |next knee heal which means nothing| akObz3AdBAs
_*9014 2:28 |so we 're going to happen be 0| akObz3AdBAs
_*9015 2:31 |and we 're going to do this them gnashing| akObz3AdBAs
_*9016 2:35 |on me here quote me| akObz3AdBAs
_*9017 2:38 |matt take alliance i 'm which which| akObz3AdBAs
_*9018 2:42 |forward means act anniversary back to the words factor| akObz3AdBAs
_*9019 2:48 |and est if you 're going to| akObz3AdBAs
_*9020 2:52 |read this exactly and very word-for-word| akObz3AdBAs
_*9021 2:55 |literal translation treatment english this is what i come up with| akObz3AdBAs
_*9022 3:00 |all beings to him me worker| akObz3AdBAs
_*9023 3:03 |and without him made| akObz3AdBAs
_*9024 3:06 |is not be that made sounds funny to us| akObz3AdBAs
_*9025 3:12 |when that 's the way i am going to sign it % uh| akObz3AdBAs
_*9026 3:15 |let 's give it a try many oni| akObz3AdBAs
_*9027 3:20 |parents in sumed| akObz3AdBAs
_*9028 3:24 |aunt seen any so| akObz3AdBAs
_*9029 3:27 |bacterium asked me he 'll| akObz3AdBAs
_*9030 3:31 |frank two men| akObz3AdBAs
_*9031 0:01 |lap and that many| rQA-MRpd1n8
_*9032 0:06 |gon na pockmarked and just gon na| rQA-MRpd1n8
_*9033 0:09 |mister han tough i do n't have my hair in eighteen| rQA-MRpd1n8
_*9034 0:13 |from here i want pitting| rQA-MRpd1n8
_*9035 0:17 |i do n't wan na hear nothing i cant| rQA-MRpd1n8
_*9036 0:20 |anything quiet that i do n't know how to get here| rQA-MRpd1n8
_*9037 0:28 |read everything background aki| rQA-MRpd1n8
_*9038 0:31 |star use here| rQA-MRpd1n8
_*9039 0:34 |me nauseous game| rQA-MRpd1n8
_*9040 0:37 |over that| rQA-MRpd1n8
_*9041 0:41 |i was gon na and then talk about how| rQA-MRpd1n8
_*9042 0:46 |met a day it and i| rQA-MRpd1n8
_*9043 0:49 |are became and| rQA-MRpd1n8
_*9044 0:53 |but i 'm send issue and i sat out| rQA-MRpd1n8
_*9045 0:57 |in a| rQA-MRpd1n8
_*9046 2:50 the rQA-MRpd1n8
_*9047 3:27 him rQA-MRpd1n8
_*9048 3:29 and rQA-MRpd1n8
_*9049 3:34 them rQA-MRpd1n8
_*9050 3:37 |% um| rQA-MRpd1n8
_*9051 3:47 |him % um| rQA-MRpd1n8
_*9052 3:53 |mmm him| rQA-MRpd1n8
_*9053 4:03 im rQA-MRpd1n8
_*9054 4:07 them rQA-MRpd1n8
_*9055 4:14 them rQA-MRpd1n8
_*9056 0:01 |hi i 'm patty and i work for the irs| 6opcQIm7I9Y
_*9057 0:04 |paying your taxes in full and on time| 6opcQIm7I9Y
_*9058 0:08 |s best but what about| 6opcQIm7I9Y
_*9059 0:12 |if you ca n't pay the full amount you can set up a payment plan to avoid| 6opcQIm7I9Y
_*9060 0:17 |unnecessary penalties and interest here 's hell| 6opcQIm7I9Y
_*9061 0:25 |if you all fifty thousand dollars or less| 6opcQIm7I9Y
_*9062 0:28 |individual income taxes and you can pay the full amount within 72 months| 6opcQIm7I9Y
_*9063 0:34 |you can request and online payment agreement this no need to call| 6opcQIm7I9Y
_*9064 0:43 |alright because you can make the request online| 6opcQIm7I9Y
_*9065 0:47 |and find out immediately if you request is approved| 6opcQIm7I9Y
_*9066 0:58 |its ec in your personal information is safe and secure| 6opcQIm7I9Y
_*9067 1:02 |you can even set up a direct debit| 6opcQIm7I9Y
_*9068 1:08 |account which means there are no checks to mail| 6opcQIm7I9Y
_*9069 1:12 |and no missed payments that could lead to additional penalties| 6opcQIm7I9Y
_*9070 1:16 |to learn more| 6opcQIm7I9Y
_*9071 1:21 |just go to i rest at cub in click tools| 6opcQIm7I9Y
_*9072 1:25 |then online payment agreement and follow the three| 6opcQIm7I9Y
_*9073 1:31 |ec steps| 6opcQIm7I9Y
_*9074 1:39 well 6opcQIm7I9Y
_*9075 1:41 |just my| 6opcQIm7I9Y
_*9076 0:07 texas SONTXSm6exo
_*9077 0:08 hi SONTXSm6exo
_*9078 0:11 |i 'm thomas and i work for the irs have you received a notice from the irs| SONTXSm6exo
_*9079 0:16 |saying that you already filed a return| SONTXSm6exo
_*9080 0:19 |when you know you did n't or| SONTXSm6exo
_*9081 0:22 |that you received wages from employer you did n't know| SONTXSm6exo
_*9082 0:26 |it 's so you might be a victim| SONTXSm6exo
_*9083 0:30 |identity theft one-way identity theft occurs is when someone uses your| SONTXSm6exo
_*9084 0:35 |personal information| SONTXSm6exo
_*9085 0:36 |such as your social security number to file a tax return| SONTXSm6exo
_*9086 0:40 |and get a bogus refund another| SONTXSm6exo
_*9087 0:44 |is using your identity to get a job if you believe you been the victim of| SONTXSm6exo
_*9088 0:50 |identity theft| SONTXSm6exo
_*9089 0:51 |contact us right away so we can take steps to secure your tax account| SONTXSm6exo
_*9090 0:56 |and met your social security number with the right person| SONTXSm6exo
_*9091 1:00 |this can be a time-consuming process| SONTXSm6exo
_*9092 1:05 |and we understand your frustration but we want you to know we take identity| SONTXSm6exo
_*9093 1:10 |theft seriously| SONTXSm6exo
_*9094 1:11 |and that we are committed to working with you to deal with this situation| SONTXSm6exo
_*9095 1:16 |so to protect you we are focusing on preventing| SONTXSm6exo
_*9096 1:21 |detecting and resolving identity theft cases| SONTXSm6exo
_*9097 1:25 |as soon as possible if you suspect that your taxes have been affected by| SONTXSm6exo
_*9098 1:30 |identity theft| SONTXSm6exo
_*9099 1:31 |or if you believe your irs records may be at risk because they lost| SONTXSm6exo
_*9100 1:36 |are stolen wallet questionable credit report| SONTXSm6exo
_*9101 1:39 |or some other activity go to our website| SONTXSm6exo
_*9102 1:43 |and download form 140 39| SONTXSm6exo
_*9103 1:46 |that 's the identity theft after david| SONTXSm6exo
_*9104 1:49 |which is what we need to confirm your identity| SONTXSm6exo
_*9105 1:53 |to get more information about identity| SONTXSm6exo
_*9106 1:57 |theft and your tax account or how to contact us| SONTXSm6exo
_*9107 2:01 |just go to irs dot cup and click| SONTXSm6exo
_*9108 2:04 |identity theft on the home base| SONTXSm6exo
_*9109 2:16 of SONTXSm6exo
_*9110 0:02 hello 3MjtY4pooFA
_*9111 0:03 |my name is caro| 3MjtY4pooFA
_*9112 0:06 |i am going to talk about| 3MjtY4pooFA
_*9113 0:09 |universal subtitles| 3MjtY4pooFA
_*9114 0:15 |what am i talking about ?| 3MjtY4pooFA
_*9115 0:18 |it 's cool !| 3MjtY4pooFA
_*9116 0:21 |mozilla , miro and participatory culture foundation| 3MjtY4pooFA
_*9117 0:32 |are trying to set up a protocol for| 3MjtY4pooFA
_*9118 0:41 |streaming and downloaded video players| 3MjtY4pooFA
_*9119 0:53 |to have a button on it where one can click for a list of subtitles of different languages .| 3MjtY4pooFA
_*9120 1:05 |you decide whichever language you want to pick to subtitle your video| 3MjtY4pooFA
_*9121 1:15 |it 's cool , right ?| 3MjtY4pooFA
_*9122 1:17 |where would the list come from ? obviously , the internet .| 3MjtY4pooFA
_*9123 1:24 |for example , i want to watch ... a movie . i picked spanish , now where does it come from ?| 3MjtY4pooFA
_*9124 1:46 |from other videos where other people made the subtitles !| 3MjtY4pooFA
_*9125 1:54 |the video player i am using finds subtitle tracks from other video uploads and brings it to the video i am watching .| 3MjtY4pooFA
_*9126 2:03 |it means that you can make subtitles for some video blogger you are interested in| 3MjtY4pooFA
